Source File Name:	SigPro_Rock
Signal:	FFT - Usr FFT / Vib / Velocity - Magnitude

Frequency	Magnitude	Magnitude	Magnitude
[ Hz ]	[ m/s ]	[ m/s ]	[ m/s ]
42.1875	6.449854e-7	4.667258e-7	3.687601e-7
42.578125	9.481497e-7	1.833124e-7	4.705993e-7
42.96875	1.099576e-6	6.878494e-7	1.626075e-7
43.359375	2.727014e-7	3.053646e-7	2.23489e-7
43.75	1.570629e-6	7.446917e-8	1.955881e-7
44.140625	1.807909e-6	2.647363e-7	1.500393e-7
44.53125	4.285617e-7	4.924528e-7	2.741709e-7
44.921875	1.715599e-6	4.624607e-7	1.430283e-7
45.3125	1.867833e-6	1.876643e-7	6.902787e-7
45.703125	1.280822e-6	3.619148e-7	2.703519e-7
46.09375	1.14418e-6	5.467668e-7	3.096512e-7
46.484375	2.442688e-6	4.986468e-7	7.853241e-7
46.875	5.844613e-7	5.428047e-7	4.540826e-7
47.265625	2.141113e-6	3.803823e-7	4.161394e-7
47.65625	1.468202e-6	3.390839e-7	3.687818e-7
48.046875	1.725665e-6	5.012175e-7	5.980357e-7
48.4375	1.823509e-6	6.015222e-7	7.597737e-7
48.828125	1.641846e-6	4.242439e-7	3.496287e-7
49.21875	1.643785e-6	4.116325e-7	4.351757e-7
49.609375	6.612428e-7	6.537132e-7	8.413924e-7
50	2.446185e-6	7.435634e-7	1.01201e-6
50.390625	1.16805e-6	5.961452e-7	8.716177e-7
50.78125	1.309785e-6	4.35184e-7	4.949152e-7
51.171875	7.141134e-7	6.945407e-7	7.32316e-7
51.5625	1.841018e-6	9.023553e-7	1.177737e-6
51.953125	3.12043e-7	1.127224e-6	1.128481e-6
52.34375	1.085178e-6	8.585102e-7	1.070453e-6
52.734375	1.182238e-6	6.498214e-7	5.341195e-7
53.125	1.003499e-6	9.882282e-7	1.085964e-6
53.515625	9.309368e-7	1.147928e-6	1.344615e-6
53.90625	1.45385e-6	1.071937e-6	1.210193e-6
54.296875	7.927416e-7	6.911819e-7	1.10861e-6
54.6875	3.799421e-7	7.208835e-7	8.328415e-7
55.078125	1.627054e-6	1.147357e-6	9.394262e-7
55.46875	9.444739e-7	9.747255e-7	1.21842e-6
55.859375	3.649721e-7	6.490283e-7	1.044832e-6
56.25	1.011017e-6	9.155058e-7	4.292893e-7
56.640625	1.191706e-6	2.056607e-7	1.054488e-6
57.03125	2.042752e-7	5.676056e-7	8.465592e-7
57.421875	1.025582e-6	6.931729e-7	1.159394e-6
57.8125	9.256179e-7	8.850665e-7	4.405022e-7
58.203125	3.176004e-7	4.573668e-7	5.898361e-7
58.59375	1.266179e-6	7.101054e-7	1.253855e-6
58.984375	1.535584e-6	7.195887e-7	1.114205e-6
59.375	2.662028e-7	8.121652e-7	6.291106e-7
59.765625	3.745928e-7	1.691556e-6	5.776297e-7
60.15625	1.095164e-6	7.040071e-7	7.128604e-7
60.546875	7.23377e-7	3.70355e-7	7.654453e-7
60.9375	4.594852e-7	7.434978e-7	3.040042e-7
