Frequency (Hz),Distance (mm),Magnitude (m/s),Max Magnitude (m/s),Relative dB,fig
38.671875,0,9.42E-07,1.49E-05,-11.99288641,0.942
39.0625,0,2.24E-07,1.49E-05,-18.23387318,0.224
39.453125,0,8.86E-07,1.49E-05,-12.25902615,0.886
39.84375,0,2.56E-07,1.49E-05,-17.65769188,0.256
40.234375,0,6.87E-07,1.49E-05,-13.36070825,0.687
40.625,0,8.46E-07,1.49E-05,-12.46007992,0.846
41.015625,0,5.35E-07,1.49E-05,-14.44949884,0.535
41.40625,0,8.39E-07,1.49E-05,-12.49403189,0.839
41.796875,0,1.23E-06,1.49E-05,-10.8376692,1.23
42.1875,0,6.45E-07,1.49E-05,-13.63636384,0.645
42.578125,0,9.48E-07,1.49E-05,-11.96309356,0.948
42.96875,0,1.10E-06,1.49E-05,-11.31961016,1.1
43.359375,0,2.73E-07,1.49E-05,-17.37498901,0.273
43.75,0,1.57E-06,1.49E-05,-9.771126564,1.57
44.140625,0,1.81E-06,1.49E-05,-9.160097017,1.81
44.53125,0,4.29E-07,1.49E-05,-15.41172912,0.429
44.921875,0,1.72E-06,1.49E-05,-9.38770484,1.72
45.3125,0,1.87E-06,1.49E-05,-9.018482244,1.87
45.703125,0,1.28E-06,1.49E-05,-10.6569749,1.28
46.09375,0,1.14E-06,1.49E-05,-11.14691916,1.14
46.484375,0,2.44E-06,1.49E-05,-7.853182695,2.44
46.875,0,5.84E-07,1.49E-05,-14.06430509,0.584
47.265625,0,2.14E-06,1.49E-05,-8.425466801,2.14
47.65625,0,1.47E-06,1.49E-05,-10.06400457,1.47
48.046875,0,1.73E-06,1.49E-05,-9.362297776,1.73
48.4375,0,1.82E-06,1.49E-05,-9.122783573,1.82
48.828125,0,1.64E-06,1.49E-05,-9.578538492,1.64
49.21875,0,1.64E-06,1.49E-05,-9.573412553,1.64
49.609375,0,6.61E-07,1.49E-05,-13.52825312,0.661
50,0,2.45E-06,1.49E-05,-7.846969697,2.45
50.390625,0,1.17E-06,1.49E-05,-11.05724835,1.17
50.78125,0,1.31E-06,1.49E-05,-10.55986256,1.31
51.171875,0,7.14E-07,1.49E-05,-13.19419086,0.714
51.5625,0,1.84E-06,1.49E-05,-9.081282337,1.84
51.953125,0,3.12E-07,1.49E-05,-16.78971824,0.312
52.34375,0,1.09E-06,1.49E-05,-11.37685288,1.09
52.734375,0,1.18E-06,1.49E-05,-11.00481354,1.18
53.125,0,1.00E-06,1.49E-05,-11.71669324,1
53.515625,0,9.31E-07,1.49E-05,-12.0426607,0.931
53.90625,0,1.45E-06,1.49E-05,-10.10666668,1.45
54.296875,0,7.93E-07,1.49E-05,-12.7405462,0.793
54.6875,0,3.80E-07,1.49E-05,-15.9346885,0.38
55.078125,0,1.63E-06,1.49E-05,-9.617843015,1.63
55.46875,0,9.44E-07,1.49E-05,-11.97996307,0.944
55.859375,0,3.65E-07,1.49E-05,-16.10926602,0.365
56.25,0,1.01E-06,1.49E-05,-11.6842781,1.01
56.640625,0,1.19E-06,1.49E-05,-10.97017142,1.19
57.03125,0,2.04E-07,1.49E-05,-18.62970624,0.204
57.421875,0,1.03E-06,1.49E-05,-11.62215878,1.03
57.8125,0,9.26E-07,1.49E-05,-12.06754524,0.926
58.203125,0,3.18E-07,1.49E-05,-16.71305228,0.318
58.59375,0,1.27E-06,1.49E-05,-10.70691162,1.27
58.984375,0,1.54E-06,1.49E-05,-9.869126901,1.54
59.375,0,2.66E-07,1.49E-05,-17.47973649,0.266
59.765625,0,3.75E-07,1.49E-05,-15.99626843,0.375
60.15625,0,1.10E-06,1.49E-05,-11.33707109,1.1
60.546875,0,7.23E-07,1.49E-05,-13.13821572,0.723
60.9375,0,4.59E-07,1.49E-05,-15.10914741,0.459
61.328125,0,1.47E-06,1.49E-05,-10.0482316,1.47
61.71875,0,6.80E-07,1.49E-05,-13.40545363,0.68
62.109375,0,1.30E-07,1.49E-05,-20.58434545,0.13
62.5,0,1.57E-06,1.49E-05,-9.781308525,1.57
62.890625,0,7.53E-07,1.49E-05,-12.9662165,0.753
63.28125,0,1.54E-07,1.49E-05,-19.86826721,0.154
63.671875,0,9.10E-07,1.49E-05,-12.14280006,0.91
64.0625,0,9.09E-07,1.49E-05,-12.14639203,0.909
64.453125,0,1.38E-07,1.49E-05,-20.33776032,0.138
64.84375,0,1.09E-06,1.49E-05,-11.37157337,1.09
65.234375,0,5.85E-07,1.49E-05,-14.06007389,0.585
65.625,0,2.92E-07,1.49E-05,-17.07728314,0.292
66.015625,0,1.08E-06,1.49E-05,-11.38794071,1.08
66.40625,0,1.24E-06,1.49E-05,-10.79311612,1.24
66.796875,0,6.14E-07,1.49E-05,-13.85158818,0.614
67.1875,0,1.44E-06,1.49E-05,-10.145681,1.44
67.578125,0,1.40E-06,1.49E-05,-10.25549821,1.4
