Frequency (Hz),Distance (mm),Magnitude (m/s),Max Magnitude (m/s),Relative dB,fig
38.28125,0,9.50E-08,4.79E-06,-17.02565784,0.095
38.671875,0,2.82E-08,4.79E-06,-22.29697716,0.0282
39.0625,0,1.31E-07,4.79E-06,-15.62777877,0.131
39.453125,0,8.92E-08,4.79E-06,-17.29794445,0.0892
39.84375,0,2.34E-07,4.79E-06,-13.11833859,0.234
40.234375,0,2.95E-07,4.79E-06,-12.09792725,0.295
40.625,0,1.63E-07,4.79E-06,-14.67935343,0.163
41.015625,0,2.60E-07,4.79E-06,-12.6538956,0.26
41.40625,0,5.19E-08,4.79E-06,-19.64817514,0.0519
41.796875,0,1.10E-07,4.79E-06,-16.39059314,0.11
42.1875,0,2.45E-07,4.79E-06,-12.91362511,0.245
42.578125,0,4.11E-07,4.79E-06,-10.66042619,0.411
42.96875,0,2.91E-07,4.79E-06,-12.16940831,0.291
43.359375,0,3.44E-07,4.79E-06,-11.44010314,0.344
43.75,0,6.36E-08,4.79E-06,-18.77145134,0.0636
44.140625,0,3.01E-07,4.79E-06,-12.02392483,0.301
44.53125,0,1.15E-07,4.79E-06,-16.19363588,0.115
44.921875,0,8.53E-08,4.79E-06,-17.49407968,0.0853
45.3125,0,2.46E-07,4.79E-06,-12.8864881,0.246
45.703125,0,2.27E-07,4.79E-06,-13.24839742,0.227
46.09375,0,4.57E-08,4.79E-06,-20.20131178,0.0457
46.484375,0,1.70E-07,4.79E-06,-14.50637037,0.17
46.875,0,7.95E-08,4.79E-06,-17.80029737,0.0795
47.265625,0,7.38E-08,4.79E-06,-18.12408577,0.0738
47.65625,0,9.42E-08,4.79E-06,-17.06186145,0.0942
48.046875,0,1.50E-07,4.79E-06,-15.03173736,0.15
48.4375,0,1.05E-07,4.79E-06,-16.58937803,0.105
48.828125,0,6.75E-08,4.79E-06,-18.51317118,0.0675
49.21875,0,5.60E-08,4.79E-06,-19.32073973,0.056
49.609375,0,3.44E-08,4.79E-06,-21.44024336,0.0344
50,0,7.45E-08,4.79E-06,-18.08107661,0.0745
50.390625,0,6.76E-08,4.79E-06,-18.50661108,0.0676
50.78125,0,1.07E-07,4.79E-06,-16.50060521,0.107
51.171875,0,1.03E-07,4.79E-06,-16.68349158,0.103
51.5625,0,1.22E-07,4.79E-06,-15.95228398,0.122
51.953125,0,7.46E-08,4.79E-06,-18.07428415,0.0746
52.34375,0,1.11E-07,4.79E-06,-16.33807964,0.111
52.734375,0,1.36E-08,4.79E-06,-25.46456966,0.0136
53.125,0,9.47E-08,4.79E-06,-17.04143964,0.0947
53.515625,0,1.13E-07,4.79E-06,-16.27596567,0.113
53.90625,0,2.68E-08,4.79E-06,-22.51881922,0.0268
54.296875,0,9.35E-08,4.79E-06,-17.09643199,0.0935
54.6875,0,6.66E-08,4.79E-06,-18.57105954,0.0666
55.078125,0,1.41E-07,4.79E-06,-15.31287996,0.141
55.46875,0,3.22E-08,4.79E-06,-21.71987765,0.0322
55.859375,0,1.40E-07,4.79E-06,-15.35564595,0.14
56.25,0,1.26E-07,4.79E-06,-15.81379761,0.126
56.640625,0,1.94E-07,4.79E-06,-13.93473009,0.194
57.03125,0,9.18E-08,4.79E-06,-17.17556656,0.0918
57.421875,0,9.24E-08,4.79E-06,-17.144441,0.0924
57.8125,0,2.93E-08,4.79E-06,-22.12809835,0.0293
58.203125,0,7.79E-08,4.79E-06,-17.89036788,0.0779
58.59375,0,5.97E-08,4.79E-06,-19.04281678,0.0597
