Frequency (Hz),Distance (mm),Magnitude (m/s),Max Magnitude (m/s),Relative dB,fig
38.671875,0,3.36E-07,5.03E-06,-11.74987069,0.336
39.0625,0,2.44E-07,5.03E-06,-13.14606969,0.244
39.453125,0,3.13E-07,5.03E-06,-12.05820839,0.313
39.84375,0,4.88E-07,5.03E-06,-10.13528961,0.488
40.234375,0,3.76E-07,5.03E-06,-11.2681153,0.376
40.625,0,1.43E-07,5.03E-06,-15.45777543,0.143
41.015625,0,4.16E-07,5.03E-06,-10.82105765,0.416
41.40625,0,3.34E-07,5.03E-06,-11.77899802,0.334
41.796875,0,6.42E-07,5.03E-06,-8.938156612,0.642
42.1875,0,5.84E-07,5.03E-06,-9.355137276,0.584
42.578125,0,9.02E-07,5.03E-06,-7.461344411,0.902
42.96875,0,8.75E-07,5.03E-06,-7.597980403,0.875
43.359375,0,2.84E-07,5.03E-06,-12.48249798,0.284
43.75,0,4.60E-07,5.03E-06,-10.39069958,0.46
44.140625,0,4.57E-07,5.03E-06,-10.41759944,0.457
44.53125,0,6.89E-07,5.03E-06,-8.634961583,0.689
44.921875,0,2.12E-07,5.03E-06,-13.76078594,0.212
45.3125,0,4.49E-07,5.03E-06,-10.49683449,0.449
45.703125,0,5.27E-07,5.03E-06,-9.799856198,0.527
46.09375,0,5.61E-07,5.03E-06,-9.523836204,0.561
46.484375,0,4.60E-07,5.03E-06,-10.39130894,0.46
46.875,0,3.64E-07,5.03E-06,-11.40137188,0.364
47.265625,0,4.50E-07,5.03E-06,-10.48366184,0.45
47.65625,0,4.68E-07,5.03E-06,-10.31627916,0.468
48.046875,0,4.90E-07,5.03E-06,-10.11171112,0.49
48.4375,0,4.81E-07,5.03E-06,-10.19720877,0.481
48.828125,0,3.76E-07,5.03E-06,-11.26635363,0.376
49.21875,0,2.53E-07,5.03E-06,-12.97864905,0.253
49.609375,0,4.25E-07,5.03E-06,-10.7332214,0.425
50,0,4.46E-07,5.03E-06,-10.52264775,0.446
50.390625,0,3.62E-07,5.03E-06,-11.42911965,0.362
50.78125,0,2.85E-07,5.03E-06,-12.46791246,0.285
51.171875,0,2.73E-07,5.03E-06,-12.64644319,0.273
51.5625,0,4.62E-07,5.03E-06,-10.37004979,0.462
51.953125,0,4.09E-07,5.03E-06,-10.89970205,0.409
52.34375,0,1.66E-07,5.03E-06,-14.81371216,0.166
52.734375,0,1.29E-07,5.03E-06,-15.91986064,0.129
53.125,0,3.50E-07,5.03E-06,-11.57653336,0.35
53.515625,0,2.71E-07,5.03E-06,-12.6928401,0.271
53.90625,0,2.62E-07,5.03E-06,-12.83978724,0.262
54.296875,0,3.80E-07,5.03E-06,-11.21555987,0.38
54.6875,0,2.40E-07,5.03E-06,-13.20824155,0.24
55.078125,0,2.25E-07,5.03E-06,-13.49583357,0.225
55.46875,0,2.49E-07,5.03E-06,-13.04512405,0.249
55.859375,0,1.83E-07,5.03E-06,-14.402906,0.183
56.25,0,2.65E-07,5.03E-06,-12.77523744,0.265
56.640625,0,5.91E-07,5.03E-06,-9.301833693,0.591
57.03125,0,1.84E-07,5.03E-06,-14.37121832,0.184
57.421875,0,8.29E-08,5.03E-06,-17.82927338,0.0829
57.8125,0,1.18E-07,5.03E-06,-16.28588747,0.118
58.203125,0,1.70E-07,5.03E-06,-14.70477038,0.17
58.59375,0,3.26E-07,5.03E-06,-11.88761161,0.326
58.984375,0,3.03E-07,5.03E-06,-12.20670071,0.303
59.375,0,4.29E-07,5.03E-06,-10.69122031,0.429
59.765625,0,2.17E-07,5.03E-06,-13.65724706,0.217
60.15625,0,4.40E-07,5.03E-06,-10.57628382,0.44
60.546875,0,4.40E-07,5.03E-06,-10.58513463,0.44
60.9375,0,4.35E-07,5.03E-06,-10.6349755,0.435
61.328125,0,2.69E-07,5.03E-06,-12.72365783,0.269
61.71875,0,2.64E-07,5.03E-06,-12.80736605,0.264
62.109375,0,6.25E-07,5.03E-06,-9.057640628,0.625
62.5,0,6.58E-07,5.03E-06,-8.836001707,0.658
62.890625,0,4.44E-07,5.03E-06,-10.54506453,0.444
