Frequency (Hz),Distance (mm),Magnitude (m/s),Max Magnitude (m/s),Relative dB,fig
39.0625,0,4.06E-06,8.40E-05,-13.15550166,4.06
39.453125,0,4.09E-06,8.40E-05,-13.12591445,4.09
39.84375,0,3.22E-06,8.40E-05,-14.16755871,3.22
40.234375,0,2.08E-06,8.40E-05,-16.06856172,2.08
40.625,0,4.25E-06,8.40E-05,-12.96191912,4.25
41.015625,0,4.39E-06,8.40E-05,-12.81727718,4.39
41.40625,0,2.90E-06,8.40E-05,-14.62354028,2.9
41.796875,0,2.18E-06,8.40E-05,-15.86490884,2.18
42.1875,0,3.25E-06,8.40E-05,-14.13041834,3.25
42.578125,0,4.06E-06,8.40E-05,-13.15691429,4.06
42.96875,0,3.64E-06,8.40E-05,-13.63247705,3.64
43.359375,0,3.87E-06,8.40E-05,-13.36309841,3.87
43.75,0,2.35E-06,8.40E-05,-15.53742142,2.35
44.140625,0,3.97E-06,8.40E-05,-13.25022573,3.97
44.53125,0,4.93E-06,8.40E-05,-12.31609733,4.93
44.921875,0,4.92E-06,8.40E-05,-12.32591267,4.92
45.3125,0,3.22E-06,8.40E-05,-14.16398733,3.22
45.703125,0,2.70E-06,8.40E-05,-14.92635733,2.7
46.09375,0,4.10E-06,8.40E-05,-13.11616943,4.1
46.484375,0,4.83E-06,8.40E-05,-12.40220674,4.83
46.875,0,4.17E-06,8.40E-05,-13.04029621,4.17
47.265625,0,2.32E-06,8.40E-05,-15.59584425,2.32
47.65625,0,2.51E-06,8.40E-05,-15.23902784,2.51
48.046875,0,3.30E-06,8.40E-05,-14.0609975,3.3
48.4375,0,3.16E-06,8.40E-05,-14.25090966,3.16
48.828125,0,1.81E-06,8.40E-05,-16.67437954,1.81
49.21875,0,9.04E-07,8.40E-05,-19.68286098,0.904
49.609375,0,2.03E-06,8.40E-05,-16.16201726,2.03
50,0,3.81E-06,8.40E-05,-13.43790534,3.81
50.390625,0,4.23E-06,8.40E-05,-12.97667236,4.23
50.78125,0,3.13E-06,8.40E-05,-14.28857484,3.13
51.171875,0,7.63E-06,8.40E-05,-10.42036078,7.63
51.5625,0,1.16E-05,8.40E-05,-8.616875256,11.6
51.953125,0,1.29E-05,8.40E-05,-8.146831923,12.9
52.34375,0,1.10E-05,8.40E-05,-8.833392926,11
52.734375,0,8.17E-06,8.40E-05,-10.11987652,8.17
53.125,0,1.31E-05,8.40E-05,-8.064739047,13.1
53.515625,0,1.48E-05,8.40E-05,-7.546780242,14.8
53.90625,0,1.25E-05,8.40E-05,-8.274877648,12.5
54.296875,0,7.32E-06,8.40E-05,-10.59736999,7.32
54.6875,0,7.91E-06,8.40E-05,-10.25882252,7.91
55.078125,0,1.15E-05,8.40E-05,-8.632533941,11.5
55.46875,0,1.21E-05,8.40E-05,-8.405577825,12.1
55.859375,0,8.99E-06,8.40E-05,-9.70565345,8.99
56.25,0,4.80E-06,8.40E-05,-12.43476455,4.8
56.640625,0,8.46E-06,8.40E-05,-9.969149806,8.46
57.03125,0,1.14E-05,8.40E-05,-8.68743475,11.4
57.421875,0,1.04E-05,8.40E-05,-9.066750579,10.4
57.8125,0,6.14E-06,8.40E-05,-11.3593907,6.14
58.203125,0,6.99E-06,8.40E-05,-10.79595761,6.99
58.59375,0,1.07E-05,8.40E-05,-8.941096192,10.7
58.984375,0,1.16E-05,8.40E-05,-8.592985862,11.6
59.375,0,9.38E-06,8.40E-05,-9.51917251,9.38
59.765625,0,5.30E-06,8.40E-05,-11.99653418,5.3
60.15625,0,1.04E-05,8.40E-05,-9.055309511,10.4
60.546875,0,1.30E-05,8.40E-05,-8.097830615,13
60.9375,0,1.25E-05,8.40E-05,-8.276963331,12.5
61.328125,0,8.87E-06,8.40E-05,-9.762562844,8.87
61.71875,0,9.33E-06,8.40E-05,-9.543950822,9.33
62.109375,0,1.29E-05,8.40E-05,-8.151710576,12.9
62.5,0,1.41E-05,8.40E-05,-7.756093948,14.1
62.890625,0,1.21E-05,8.40E-05,-8.397423287,12.1
63.28125,0,8.44E-06,8.40E-05,-9.979225347,8.44
63.671875,0,1.23E-05,8.40E-05,-8.32871224,12.3
64.0625,0,1.52E-05,8.40E-05,-7.417313981,15.2
64.453125,0,1.53E-05,8.40E-05,-7.392377223,15.3
64.84375,0,1.26E-05,8.40E-05,-8.251613828,12.6
65.234375,0,1.17E-05,8.40E-05,-8.547292119,11.7
65.625,0,1.59E-05,8.40E-05,-7.220149854,15.9
66.015625,0,1.76E-05,8.40E-05,-6.784814594,17.6
66.40625,0,1.66E-05,8.40E-05,-7.035670073,16.6
66.796875,0,1.28E-05,8.40E-05,-8.168844413,12.8
67.1875,0,1.57E-05,8.40E-05,-7.284468577,15.7
67.578125,0,1.94E-05,8.40E-05,-6.363253559,19.4
67.96875,0,2.00E-05,8.40E-05,-6.237227122,20
68.359375,0,1.75E-05,8.40E-05,-6.807989786,17.5
68.75,0,1.43E-05,8.40E-05,-7.702444349,14.3
69.140625,0,1.96E-05,8.40E-05,-6.321191689,19.6
69.53125,0,2.21E-05,8.40E-05,-5.791977977,22.1
69.921875,0,2.18E-05,8.40E-05,-5.860852414,21.8
70.3125,0,1.76E-05,8.40E-05,-6.775990486,17.6
70.703125,0,1.88E-05,8.40E-05,-6.502390356,18.8
71.09375,0,2.35E-05,8.40E-05,-5.523276565,23.5
71.484375,0,2.51E-05,8.40E-05,-5.246079869,25.1
71.875,0,2.24E-05,8.40E-05,-5.73667892,22.4
72.265625,0,1.73E-05,8.40E-05,-6.851452959,17.3
72.65625,0,2.31E-05,8.40E-05,-5.613054921,23.1
73.046875,0,2.70E-05,8.40E-05,-4.931174353,27
73.4375,0,2.70E-05,8.40E-05,-4.921430044,27
73.828125,0,2.27E-05,8.40E-05,-5.686597895,22.7
74.21875,0,2.16E-05,8.40E-05,-5.906583285,21.6
74.609375,0,2.76E-05,8.40E-05,-4.840453011,27.6
75,0,3.02E-05,8.40E-05,-4.438191589,30.2
75.390625,0,2.79E-05,8.40E-05,-4.787560341,27.9
75.78125,0,2.15E-05,8.40E-05,-5.91478392,21.5
76.171875,0,2.61E-05,8.40E-05,-5.075713934,26.1
76.5625,0,3.16E-05,8.40E-05,-4.246577649,31.6
76.953125,0,3.26E-05,8.40E-05,-4.116301043,32.6
77.34375,0,2.75E-05,8.40E-05,-4.844483081,27.5
77.734375,0,2.27E-05,8.40E-05,-5.684363685,22.7
78.125,0,3.09E-05,8.40E-05,-4.348981413,30.9
78.515625,0,3.52E-05,8.40E-05,-3.773371814,35.2
78.90625,0,3.25E-05,8.40E-05,-4.129084276,32.5
79.296875,0,2.53E-05,8.40E-05,-5.211016066,25.3
79.6875,0,2.80E-05,8.40E-05,-4.767688437,28
80.078125,0,3.53E-05,8.40E-05,-3.75998363,35.3
80.46875,0,3.69E-05,8.40E-05,-3.5747177,36.9
80.859375,0,3.21E-05,8.40E-05,-4.183936663,32.1
81.25,0,2.34E-05,8.40E-05,-5.550999926,23.4
81.640625,0,3.27E-05,8.40E-05,-4.090823037,32.7
82.03125,0,3.81E-05,8.40E-05,-3.436421116,38.1
82.421875,0,3.71E-05,8.40E-05,-3.552243664,37.1
82.8125,0,2.92E-05,8.40E-05,-4.583733654,29.2
83.203125,0,2.89E-05,8.40E-05,-4.635831591,28.9
83.59375,0,3.71E-05,8.40E-05,-3.551248033,37.1
83.984375,0,3.99E-05,8.40E-05,-3.230370807,39.9
84.375,0,3.55E-05,8.40E-05,-3.735776265,35.5
84.765625,0,2.73E-05,8.40E-05,-4.879733296,27.3
85.15625,0,3.50E-05,8.40E-05,-3.807313415,35
85.546875,0,4.02E-05,8.40E-05,-3.198976927,40.2
85.9375,0,4.02E-05,8.40E-05,-3.205414945,40.2
86.328125,0,3.35E-05,8.40E-05,-3.988540223,33.5
86.71875,0,2.82E-05,8.40E-05,-4.734618089,28.2
87.109375,0,3.88E-05,8.40E-05,-3.359375374,38.8
87.5,0,4.26E-05,8.40E-05,-2.945887098,42.6
87.890625,0,3.91E-05,8.40E-05,-3.322000615,39.1
88.28125,0,2.96E-05,8.40E-05,-4.534279615,29.6
88.671875,0,3.44E-05,8.40E-05,-3.878394069,34.4
89.0625,0,4.20E-05,8.40E-05,-3.008007074,42
89.453125,0,4.30E-05,8.40E-05,-2.908364849,43
89.84375,0,3.67E-05,8.40E-05,-3.593179546,36.7
90.234375,0,2.86E-05,8.40E-05,-4.672861049,28.6
90.625,0,3.91E-05,8.40E-05,-3.316363844,39.1
91.015625,0,4.45E-05,8.40E-05,-2.75937428,44.5
91.40625,0,4.21E-05,8.40E-05,-2.99598565,42.1
91.796875,0,3.32E-05,8.40E-05,-4.030572294,33.2
92.1875,0,3.45E-05,8.40E-05,-3.869715747,34.5
92.578125,0,4.31E-05,8.40E-05,-2.90154532,43.1
92.96875,0,4.53E-05,8.40E-05,-2.685598427,45.3
93.359375,0,3.96E-05,8.40E-05,-3.266138218,39.6
93.75,0,2.90E-05,8.40E-05,-4.614044252,29
94.140625,0,3.91E-05,8.40E-05,-3.316381597,39.1
94.53125,0,4.54E-05,8.40E-05,-2.676725958,45.4
94.921875,0,4.40E-05,8.40E-05,-2.811888042,44
95.3125,0,3.50E-05,8.40E-05,-3.797984859,35
95.703125,0,3.33E-05,8.40E-05,-4.016937016,33.3
96.09375,0,4.29E-05,8.40E-05,-2.919552385,42.9
96.484375,0,4.58E-05,8.40E-05,-2.630085293,45.8
96.875,0,4.07E-05,8.40E-05,-3.145799972,40.7
97.265625,0,3.01E-05,8.40E-05,-4.451804208,30.1
97.65625,0,3.81E-05,8.40E-05,-3.430818504,38.1
98.046875,0,4.52E-05,8.40E-05,-2.694746753,45.2
98.4375,0,4.45E-05,8.40E-05,-2.758200331,44.5
98.828125,0,3.68E-05,8.40E-05,-3.57903672,36.8
99.21875,0,3.24E-05,8.40E-05,-4.133319356,32.4
99.609375,0,4.22E-05,8.40E-05,-2.989353447,42.2
100,0,4.60E-05,8.40E-05,-2.615228706,46
100.390625,0,4.17E-05,8.40E-05,-3.041969744,41.7
100.78125,0,3.15E-05,8.40E-05,-4.256522952,31.5
101.171875,0,3.74E-05,8.40E-05,-3.514461218,37.4
101.5625,0,4.49E-05,8.40E-05,-2.716384869,44.9
101.953125,0,4.52E-05,8.40E-05,-2.689094493,45.2
102.34375,0,3.78E-05,8.40E-05,-3.467093662,37.8
102.734375,0,3.08E-05,8.40E-05,-4.358954102,30.8
103.125,0,4.15E-05,8.40E-05,-3.062880176,41.5
103.515625,0,4.62E-05,8.40E-05,-2.594618421,46.2
103.90625,0,4.29E-05,8.40E-05,-2.920651251,42.9
104.296875,0,3.28E-05,8.40E-05,-4.077878066,32.8
104.6875,0,3.59E-05,8.40E-05,-3.688839599,35.9
105.078125,0,4.46E-05,8.40E-05,-2.748454078,44.6
105.46875,0,4.57E-05,8.40E-05,-2.642348123,45.7
105.859375,0,3.89E-05,8.40E-05,-3.344777497,38.9
106.25,0,2.88E-05,8.40E-05,-4.641455116,28.8
106.640625,0,3.99E-05,8.40E-05,-3.234291857,39.9
107.03125,0,4.55E-05,8.40E-05,-2.658020602,45.5
107.421875,0,4.30E-05,8.40E-05,-2.912960973,43
107.8125,0,3.33E-05,8.40E-05,-4.023083392,33.3
108.203125,0,3.29E-05,8.40E-05,-4.069258034,32.9
108.59375,0,4.17E-05,8.40E-05,-3.043692897,41.7
