Group number,ID,Sex,Maturity.Date,Mass(mg),Date of trial,Subtrial order,Note,Video notes
20,DE1830,M,Jul-27,8.43,01-Apr,4,,:)
20,EB18042,M,Jun-27,6.95,01-Apr,5,Cut-off,
20,SC18043,M,Jun-20,9.09,01-Apr,6,Cut-off,
21,DE18097,M,06-Jun,8.19,01-Nov,1,,Climbed wall and fell back itself.
21,EB18089,F,05-Jan,15.46,01-Nov,2,Cut-off,
21,EB18122,M,10-Nov,8.76,01-Nov,3,ID # appears in video is CC18026,:)
21,CC18026,F,May-14,15.53,01-Nov,4,ID # appears in video is EB18122,:)
21,DOE181076,M,Jul-27,9.23,01-Nov,5,Cut-off,
22,CR18268,F,May-28,12.41,Jan-15,1,,:)
22,EB18020,M,Jul-27,7.99,Jan-15,2,Cut-off,
22,DE18111,M,Jun-13,9.69,Jan-15,3,Cut-off,
