Observation id,EB18008,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,G:/Shirley/SUBSTRATE CHOICE/GH010977.MP4,,,,,,,
Player #1,G:/Shirley/SUBSTRATE CHOICE/GH020977.MP4,,,,,,,
,,,,,,,,
Observation date,2019-01-18 10:43:45,,,,,,,
,,,,,,,,
Description,7-3,,,,,,,
,,,,,,,,
Time offset (s),0.0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Comment,Status,
8.675,G:/Shirley/SUBSTRATE CHOICE/GH010977.MP4,1524.340,23.98,,in syringe,,,START
612.093,G:/Shirley/SUBSTRATE CHOICE/GH010977.MP4,1524.340,23.98,,in syringe,,,STOP
612.094,G:/Shirley/SUBSTRATE CHOICE/GH010977.MP4,1524.340,23.98,,leaf jump,,,POINT
612.094,G:/Shirley/SUBSTRATE CHOICE/GH010977.MP4,1524.340,23.98,,leaves,,,START
1512.534,G:/Shirley/SUBSTRATE CHOICE/GH020977.MP4,1524.340,23.98,,leaves,,,STOP
