Observation id,DE18089,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,G:/Shirley/SUBSTRATE CHOICE/GH011067.MP4,,,,,,,
Player #1,G:/Shirley/SUBSTRATE CHOICE/GH021067.MP4,,,,,,,
,,,,,,,,
Observation date,2019-01-17 16:40:46,,,,,,,
,,,,,,,,
Description,1-2,,,,,,,
,,,,,,,,
Time offset (s),0.0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Comment,Status,
462.685,G:/Shirley/SUBSTRATE CHOICE/GH011067.MP4,1041.470,23.98,,rock jump,,,POINT
506.061,G:/Shirley/SUBSTRATE CHOICE/GH011067.MP4,1041.470,23.98,,rock,,,STOP
506.062,G:/Shirley/SUBSTRATE CHOICE/GH011067.MP4,1041.470,23.98,,leaf jump,,,POINT
506.062,G:/Shirley/SUBSTRATE CHOICE/GH011067.MP4,1041.470,23.98,,leaves,,,START
509.918,G:/Shirley/SUBSTRATE CHOICE/GH011067.MP4,1041.470,23.98,,leaf jump,,,POINT
514.738,G:/Shirley/SUBSTRATE CHOICE/GH011067.MP4,1041.470,23.98,,leaf jump,,,POINT
533.052,G:/Shirley/SUBSTRATE CHOICE/GH011067.MP4,1041.470,23.98,,leaf jump,,,POINT
561.005,G:/Shirley/SUBSTRATE CHOICE/GH011067.MP4,1041.470,23.98,,leaves,,,STOP
561.006,G:/Shirley/SUBSTRATE CHOICE/GH011067.MP4,1041.470,23.98,,rock,,,START
561.006,G:/Shirley/SUBSTRATE CHOICE/GH011067.MP4,1041.470,23.98,,wall jump,,,POINT
574.500,G:/Shirley/SUBSTRATE CHOICE/GH011067.MP4,1041.470,23.98,,rock,,,STOP
574.501,G:/Shirley/SUBSTRATE CHOICE/GH011067.MP4,1041.470,23.98,,leaves,,,START
574.501,G:/Shirley/SUBSTRATE CHOICE/GH011067.MP4,1041.470,23.98,,wall jump,,,POINT
586.067,G:/Shirley/SUBSTRATE CHOICE/GH011067.MP4,1041.470,23.98,,leaves,,,STOP
586.068,G:/Shirley/SUBSTRATE CHOICE/GH011067.MP4,1041.470,23.98,,rock,,,START
586.068,G:/Shirley/SUBSTRATE CHOICE/GH011067.MP4,1041.470,23.98,,rock jump,,,POINT
591.852,G:/Shirley/SUBSTRATE CHOICE/GH011067.MP4,1041.470,23.98,,rock jump,,,POINT
599.563,G:/Shirley/SUBSTRATE CHOICE/GH011067.MP4,1041.470,23.98,,rock jump,,,POINT
605.347,G:/Shirley/SUBSTRATE CHOICE/GH011067.MP4,1041.470,23.98,,wall jump,,,POINT
608.239,G:/Shirley/SUBSTRATE CHOICE/GH011067.MP4,1041.470,23.98,,rock jump,,,POINT
611.130,G:/Shirley/SUBSTRATE CHOICE/GH011067.MP4,1041.470,23.98,,rock jump,,,POINT
617.878,G:/Shirley/SUBSTRATE CHOICE/GH011067.MP4,1041.470,23.98,,rock jump,,,POINT
621.733,G:/Shirley/SUBSTRATE CHOICE/GH011067.MP4,1041.470,23.98,,rock,,,STOP
621.734,G:/Shirley/SUBSTRATE CHOICE/GH011067.MP4,1041.470,23.98,,leaf jump,,,POINT
621.734,G:/Shirley/SUBSTRATE CHOICE/GH011067.MP4,1041.470,23.98,,leaves,,,START
629.444,G:/Shirley/SUBSTRATE CHOICE/GH011067.MP4,1041.470,23.98,,leaves,,,STOP
629.445,G:/Shirley/SUBSTRATE CHOICE/GH011067.MP4,1041.470,23.98,,rock,,,START
629.445,G:/Shirley/SUBSTRATE CHOICE/GH011067.MP4,1041.470,23.98,,rock jump,,,POINT
634.265,G:/Shirley/SUBSTRATE CHOICE/GH011067.MP4,1041.470,23.98,,rock jump,,,POINT
640.048,G:/Shirley/SUBSTRATE CHOICE/GH011067.MP4,1041.470,23.98,,rock jump,,,POINT
643.903,G:/Shirley/SUBSTRATE CHOICE/GH011067.MP4,1041.470,23.98,,rock,,,STOP
643.904,G:/Shirley/SUBSTRATE CHOICE/GH011067.MP4,1041.470,23.98,,leaf jump,,,POINT
643.904,G:/Shirley/SUBSTRATE CHOICE/GH011067.MP4,1041.470,23.98,,leaves,,,START
649.688,G:/Shirley/SUBSTRATE CHOICE/GH011067.MP4,1041.470,23.98,,leaf jump,,,POINT
