Observation id,DE18120,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,G:/Shirley/SUBSTRATE CHOICE/GH010958.MP4,,,,,,,
Player #1,G:/Shirley/SUBSTRATE CHOICE/GH020958.MP4,,,,,,,
,,,,,,,,
Observation date,2019-01-16 14:24:39,,,,,,,
,,,,,,,,
Description,4-2,,,,,,,
,,,,,,,,
Time offset (s),0.0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Comment,Status,
5.101,G:/Shirley/SUBSTRATE CHOICE/GH010958.MP4,1523.990,23.98,,in syringe,,,START
618.219,G:/Shirley/SUBSTRATE CHOICE/GH010958.MP4,1523.990,23.98,,in syringe,,,STOP
618.220,G:/Shirley/SUBSTRATE CHOICE/GH010958.MP4,1523.990,23.98,,rock,,,START
618.220,G:/Shirley/SUBSTRATE CHOICE/GH010958.MP4,1523.990,23.98,,rock jump,,,POINT
1114.973,G:/Shirley/SUBSTRATE CHOICE/GH020958.MP4,1523.990,23.98,,rock jump,,,POINT
1153.226,G:/Shirley/SUBSTRATE CHOICE/GH020958.MP4,1523.990,23.98,,wall jump,,,POINT
1189.476,G:/Shirley/SUBSTRATE CHOICE/GH020958.MP4,1523.990,23.98,,wall jump,,,POINT
1190.040,G:/Shirley/SUBSTRATE CHOICE/GH020958.MP4,1523.990,23.98,,rock,,,STOP
1190.040,G:/Shirley/SUBSTRATE CHOICE/GH020958.MP4,1523.990,23.98,,wall,,,START
1518.220,G:/Shirley/SUBSTRATE CHOICE/GH020958.MP4,1523.990,23.98,,wall,,,STOP
