Observation id,EB18022,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,G:/Shirley/SUBSTRATE CHOICE/GH011054.MP4,,,,,,,
Player #1,G:/Shirley/SUBSTRATE CHOICE/GH021054.MP4,,,,,,,
,,,,,,,,
Observation date,2019-01-22 11:51:59,,,,,,,
,,,,,,,,
Description,18-6,,,,,,,
,,,,,,,,
Time offset (s),0.0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Comment,Status,
6.747,G:/Shirley/SUBSTRATE CHOICE/GH011054.MP4,1531.290,23.98,,in syringe,,,START
347.013,G:/Shirley/SUBSTRATE CHOICE/GH011054.MP4,1531.290,23.98,,in syringe,,,STOP
347.014,G:/Shirley/SUBSTRATE CHOICE/GH011054.MP4,1531.290,23.98,,on syringe,,,START
621.733,G:/Shirley/SUBSTRATE CHOICE/GH011054.MP4,1531.290,23.98,,on syringe,,,STOP
621.734,G:/Shirley/SUBSTRATE CHOICE/GH011054.MP4,1531.290,23.98,,leaf jump,,,POINT
621.734,G:/Shirley/SUBSTRATE CHOICE/GH011054.MP4,1531.290,23.98,,leaves,,,START
1521.616,G:/Shirley/SUBSTRATE CHOICE/GH021054.MP4,1531.290,23.98,,leaves,,,STOP
