Observation id,EB18122,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,G:/Shirley/SUBSTRATE CHOICE/GH011063.MP4,,,,,,,
Player #1,G:/Shirley/SUBSTRATE CHOICE/GH021063.MP4,,,,,,,
,,,,,,,,
Observation date,2019-01-22 13:23:15,,,,,,,
,,,,,,,,
Description,21-3,,,,,,,
,,,,,,,,
Time offset (s),0.0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Comment,Status,
7.711,G:/Shirley/SUBSTRATE CHOICE/GH011063.MP4,982.530,23.98,,in syringe,,,START
75.185,G:/Shirley/SUBSTRATE CHOICE/GH011063.MP4,982.530,23.98,,in syringe,,,STOP
75.186,G:/Shirley/SUBSTRATE CHOICE/GH011063.MP4,982.530,23.98,,rock,,,START
75.186,G:/Shirley/SUBSTRATE CHOICE/GH011063.MP4,982.530,23.98,,rock jump,,,POINT
197.604,G:/Shirley/SUBSTRATE CHOICE/GH011063.MP4,982.530,23.98,,rock,,,STOP
197.605,G:/Shirley/SUBSTRATE CHOICE/GH011063.MP4,982.530,23.98,,leaf jump,,,POINT
197.605,G:/Shirley/SUBSTRATE CHOICE/GH011063.MP4,982.530,23.98,,leaves,,,START
384.607,G:/Shirley/SUBSTRATE CHOICE/GH011063.MP4,982.530,23.98,,leaf jump,,,POINT
975.658,G:/Shirley/SUBSTRATE CHOICE/GH021063.MP4,982.530,23.98,,leaves,,,STOP
