Observation id,CR18268,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,G:/Shirley/SUBSTRATE CHOICE/GH011074.MP4,,,,,,,
Player #1,G:/Shirley/SUBSTRATE CHOICE/GH021074.MP4,,,,,,,
,,,,,,,,
Observation date,2019-01-22 14:15:33,,,,,,,
,,,,,,,,
Description,22-1,,,,,,,
,,,,,,,,
Time offset (s),0.0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Comment,Status,
6.747,G:/Shirley/SUBSTRATE CHOICE/GH011074.MP4,1371.340,23.98,,in syringe,,,START
411.596,G:/Shirley/SUBSTRATE CHOICE/GH011074.MP4,1371.340,23.98,,in syringe,,,STOP
411.597,G:/Shirley/SUBSTRATE CHOICE/GH011074.MP4,1371.340,23.98,,on syringe,,,START
420.272,G:/Shirley/SUBSTRATE CHOICE/GH011074.MP4,1371.340,23.98,,on syringe,,,STOP
420.273,G:/Shirley/SUBSTRATE CHOICE/GH011074.MP4,1371.340,23.98,,rock,,,START
420.273,G:/Shirley/SUBSTRATE CHOICE/GH011074.MP4,1371.340,23.98,,rock jump,,,POINT
457.866,G:/Shirley/SUBSTRATE CHOICE/GH011074.MP4,1371.340,23.98,,rock jump,,,POINT
479.072,G:/Shirley/SUBSTRATE CHOICE/GH011074.MP4,1371.340,23.98,,wall jump,,,POINT
499.315,G:/Shirley/SUBSTRATE CHOICE/GH011074.MP4,1371.340,23.98,,rock jump,,,POINT
511.846,G:/Shirley/SUBSTRATE CHOICE/GH011074.MP4,1371.340,23.98,,rock jump,,,POINT
540.764,G:/Shirley/SUBSTRATE CHOICE/GH011074.MP4,1371.340,23.98,,rock jump,,,POINT
698.848,G:/Shirley/SUBSTRATE CHOICE/GH011074.MP4,1371.340,23.98,,rock jump,,,POINT
871.391,G:/Shirley/SUBSTRATE CHOICE/GH011074.MP4,1371.340,23.98,,rock jump,,,POINT
896.453,G:/Shirley/SUBSTRATE CHOICE/GH011074.MP4,1371.340,23.98,,rock jump,,,POINT
934.047,G:/Shirley/SUBSTRATE CHOICE/GH011074.MP4,1371.340,23.98,,rock jump,,,POINT
967.057,G:/Shirley/SUBSTRATE CHOICE/GH021074.MP4,1371.340,23.98,,wall jump,,,POINT
1320.239,G:/Shirley/SUBSTRATE CHOICE/GH021074.MP4,1371.340,23.98,,rock,,,STOP
