Observation id,CR18256,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,G:/Shirley/SUBSTRATE CHOICE/GH010995.MP4,,,,,,,
Player #1,G:/Shirley/SUBSTRATE CHOICE/GH020995.MP4,,,,,,,
,,,,,,,,
Observation date,2019-01-18 11:39:27,,,,,,,
,,,,,,,,
Description,10-2,,,,,,,
,,,,,,,,
Time offset (s),0.0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Comment,Status,
612.094,G:/Shirley/SUBSTRATE CHOICE/GH010995.MP4,1275.030,23.98,,leaf jump,,,POINT
612.094,G:/Shirley/SUBSTRATE CHOICE/GH010995.MP4,1275.030,23.98,,leaves,,,START
625.588,G:/Shirley/SUBSTRATE CHOICE/GH010995.MP4,1275.030,23.98,,leaves,,,STOP
625.589,G:/Shirley/SUBSTRATE CHOICE/GH010995.MP4,1275.030,23.98,,rock,,,START
625.589,G:/Shirley/SUBSTRATE CHOICE/GH010995.MP4,1275.030,23.98,,rock jump,,,POINT
649.687,G:/Shirley/SUBSTRATE CHOICE/GH010995.MP4,1275.030,23.98,,rock,,,STOP
649.688,G:/Shirley/SUBSTRATE CHOICE/GH010995.MP4,1275.030,23.98,,sand,,,START
649.688,G:/Shirley/SUBSTRATE CHOICE/GH010995.MP4,1275.030,23.98,,sand jump,,,POINT
650.652,G:/Shirley/SUBSTRATE CHOICE/GH010995.MP4,1275.030,23.98,,sand jump,,,POINT
650.756,G:/Shirley/SUBSTRATE CHOICE/GH010995.MP4,1275.030,23.98,,sand,,,STOP
650.757,G:/Shirley/SUBSTRATE CHOICE/GH010995.MP4,1275.030,23.98,,rock,,,START
650.757,G:/Shirley/SUBSTRATE CHOICE/GH010995.MP4,1275.030,23.98,,rock jump,,,POINT
690.173,G:/Shirley/SUBSTRATE CHOICE/GH010995.MP4,1275.030,23.98,,wall jump,,,POINT
708.486,G:/Shirley/SUBSTRATE CHOICE/GH010995.MP4,1275.030,23.98,,rock,,,STOP
708.487,G:/Shirley/SUBSTRATE CHOICE/GH010995.MP4,1275.030,23.98,,leaf jump,,,POINT
708.487,G:/Shirley/SUBSTRATE CHOICE/GH010995.MP4,1275.030,23.98,,leaves,,,START
724.874,G:/Shirley/SUBSTRATE CHOICE/GH010995.MP4,1275.030,23.98,,leaf jump,,,POINT
741.260,G:/Shirley/SUBSTRATE CHOICE/GH010995.MP4,1275.030,23.98,,leaves,,,STOP
741.261,G:/Shirley/SUBSTRATE CHOICE/GH010995.MP4,1275.030,23.98,,rock,,,START
741.261,G:/Shirley/SUBSTRATE CHOICE/GH010995.MP4,1275.030,23.98,,rock jump,,,POINT
751.863,G:/Shirley/SUBSTRATE CHOICE/GH010995.MP4,1275.030,23.98,,rock,,,STOP
751.864,G:/Shirley/SUBSTRATE CHOICE/GH010995.MP4,1275.030,23.98,,leaf jump,,,POINT
751.864,G:/Shirley/SUBSTRATE CHOICE/GH010995.MP4,1275.030,23.98,,leaves,,,START
754.756,G:/Shirley/SUBSTRATE CHOICE/GH010995.MP4,1275.030,23.98,,leaf jump,,,POINT
764.395,G:/Shirley/SUBSTRATE CHOICE/GH010995.MP4,1275.030,23.98,,leaf jump,,,POINT
772.107,G:/Shirley/SUBSTRATE CHOICE/GH010995.MP4,1275.030,23.98,,leaf jump,,,POINT
773.070,G:/Shirley/SUBSTRATE CHOICE/GH010995.MP4,1275.030,23.98,,leaves,,,STOP
773.071,G:/Shirley/SUBSTRATE CHOICE/GH010995.MP4,1275.030,23.98,,rock,,,START
773.071,G:/Shirley/SUBSTRATE CHOICE/GH010995.MP4,1275.030,23.98,,rock jump,,,POINT
787.528,G:/Shirley/SUBSTRATE CHOICE/GH010995.MP4,1275.030,23.98,,rock,,,STOP
