Observation id,DE18014,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,G:/Shirley/SUBSTRATE CHOICE/GH010947.MP4,,,,,,,
Player #1,G:/Shirley/SUBSTRATE CHOICE/GH020947.MP4,,,,,,,
,,,,,,,,
Observation date,2019-01-15 10:08:11,,,,,,,
,,,,,,,,
Description,2-4,,,,,,,
,,,,,,,,
Time offset (s),0.0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Comment,Status,
7.856,G:/Shirley/SUBSTRATE CHOICE/GH010947.MP4,1163.930,23.98,,in syringe,,,START
8.852,G:/Shirley/SUBSTRATE CHOICE/GH010947.MP4,1163.930,23.98,,in syringe,,,STOP
8.853,G:/Shirley/SUBSTRATE CHOICE/GH010947.MP4,1163.930,23.98,,on syringe,,,START
262.599,G:/Shirley/SUBSTRATE CHOICE/GH010947.MP4,1163.930,23.98,,on syringe,,,STOP
262.600,G:/Shirley/SUBSTRATE CHOICE/GH010947.MP4,1163.930,23.98,,leaf jump,,,POINT
262.600,G:/Shirley/SUBSTRATE CHOICE/GH010947.MP4,1163.930,23.98,,leaves,,,START
271.624,G:/Shirley/SUBSTRATE CHOICE/GH010947.MP4,1163.930,23.98,,leaves,,,STOP
271.624,G:/Shirley/SUBSTRATE CHOICE/GH010947.MP4,1163.930,23.98,,wall,,,START
271.624,G:/Shirley/SUBSTRATE CHOICE/GH010947.MP4,1163.930,23.98,,wall jump,,,POINT
373.723,G:/Shirley/SUBSTRATE CHOICE/GH010947.MP4,1163.930,23.98,,leaves,,,START
373.723,G:/Shirley/SUBSTRATE CHOICE/GH010947.MP4,1163.930,23.98,,wall,,,STOP
425.519,G:/Shirley/SUBSTRATE CHOICE/GH010947.MP4,1163.930,23.98,,leaf jump,,,POINT
457.301,G:/Shirley/SUBSTRATE CHOICE/GH010947.MP4,1163.930,23.98,,leaf jump,,,POINT
481.826,G:/Shirley/SUBSTRATE CHOICE/GH010947.MP4,1163.930,23.98,,leaf jump,,,POINT
503.147,G:/Shirley/SUBSTRATE CHOICE/GH010947.MP4,1163.930,23.98,,leaf jump,,,POINT
507.824,G:/Shirley/SUBSTRATE CHOICE/GH010947.MP4,1163.930,23.98,,leaf jump,,,POINT
1162.268,G:/Shirley/SUBSTRATE CHOICE/GH020947.MP4,1163.930,23.98,,leaves,,,STOP
