Observation id,CR18225,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,G:/Shirley/SUBSTRATE CHOICE/GH011038.MP4,,,,,,,
Player #1,G:/Shirley/SUBSTRATE CHOICE/GH021038.MP4,,,,,,,
,,,,,,,,
Observation date,2019-01-22 10:37:57,,,,,,,
,,,,,,,,
Description,16-2,,,,,,,
,,,,,,,,
Time offset (s),0.0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Comment,Status,
5.783,G:/Shirley/SUBSTRATE CHOICE/GH011038.MP4,1513.820,23.98,,in syringe,,,START
606.310,G:/Shirley/SUBSTRATE CHOICE/GH011038.MP4,1513.820,23.98,,in syringe,,,STOP
606.311,G:/Shirley/SUBSTRATE CHOICE/GH011038.MP4,1513.820,23.98,,rock,,,START
606.311,G:/Shirley/SUBSTRATE CHOICE/GH011038.MP4,1513.820,23.98,,rock jump,,,POINT
1506.649,G:/Shirley/SUBSTRATE CHOICE/GH021038.MP4,1513.820,23.98,,rock,,,STOP
